VWR_product_category,VWR_product_sub_category,VWR_product_id,VWR_product_name,VWR_product_quantity,VWR_product_price,VWR_product_url,VWR_image_url,VWR_product_desc
Adhesion Testers,NA,MSPP-PA2000180,"Peel Adhesive Testing Machine, 180° Peel adhesive testing machine, 180°",1,"$14,192.31",https://us.vwr.com/store/product/45339881/peel-adhesive-testing-machine-180,https://us.vwr.com/supplier/smallweb/ImageUnavailable.jpg,Description: Get precision measurements for 180° peel tests with the ChemInstruments 180° peel adhesive testing machine. The tester runs at varying speeds for adde...
Adhesives,NA,470021-054,Herbarium Paste,1,$21.95,https://us.vwr.com/store/product/8876764/herbarium-paste,https://us.vwr.com/stibo/smallweb/std.lang.all/68/64/10246864.jpg,Description: Specially formulated to adhere plant specimens to mounting sheets.
Adhesives,NA,10860-942,"Seam-Sealing Tape, ChemTape® PIG®, New Pig ChemTape®, 2"" W x 180' L",1,$70.84,https://us.vwr.com/store/product/18828249/seam-sealing-tape-chemtape-pig-new-pig,https://us.vwr.com/stibo/smallweb/std.lang.all/77/67/18717767.jpg,Description: Seam-sealing tape designed and tested for use with chemical-resistant clothing.
Adhesives,NA,47743-726,"Corning® Cell and Tissue Adhesive, Corning BD CellTak adhesives, 1 mg",1,$300.67,https://us.vwr.com/store/product/11702410/corning-cell-and-tissue-adhesive-corning,https://us.vwr.com/stibo/smallweb/std.lang.all/99/56/28119956.jpg,"Description: Corning® Cell-Tak™ Cell and Tissue Adhesive, is used to attach cells or tissue sections to many types of surfaces, including plastic, glass, metal, FE..."
Adhesives,NA,47743-684,"Corning® Cell and Tissue Adhesive, Corning BD CellTak adhesives, 5 mg",1,"$1,429.52",https://us.vwr.com/store/product/11702410/corning-cell-and-tissue-adhesive-corning,https://us.vwr.com/stibo/smallweb/std.lang.all/99/56/28119956.jpg,"Description: Corning® Cell-Tak™ Cell and Tissue Adhesive, is used to attach cells or tissue sections to many types of surfaces, including plastic, glass, metal, FE..."
Adhesives,NA,89059-444,"Epoxy Adhesive, Ace Glass Incorporated Epoxy adhesive, 30 ml",1,$83.82,https://us.vwr.com/store/product/12134578/epoxy-adhesive-ace-glass-incorporated,https://us.vwr.com/stibo/smallweb/std.lang.all/28/53/12122853.jpg,"Description: A two component epoxy system, which cures to a chemical resistant film."
Adhesives,NA,AA43135-36,"Magnesium Oxide, 2 Part Ceramic Adhesive Paste, Thermo Scientific 500 g, bottle",1,$166.99,https://us.vwr.com/store/product/7488306/magnesium-oxide-2-part-ceramic-adhesive-paste-thermo-scientific,https://us.vwr.com/supplier/smallweb/thermo.jpg,Description: High temperature adhesive for bonding ceramic to metal.Mix ratio (w/w): 1.5:1 powder to liquid.Cure conditions: 1-4 hours at room temperat...
Adhesives,NA,AA43135-A4,"Magnesium Oxide, 2 Part Ceramic Adhesive Paste, Thermo Scientific 2.5 kg, bottle",1,$449.99,https://us.vwr.com/store/product/7488306/magnesium-oxide-2-part-ceramic-adhesive-paste-thermo-scientific,https://us.vwr.com/supplier/smallweb/thermo.jpg,Description: High temperature adhesive for bonding ceramic to metal.Mix ratio (w/w): 1.5:1 powder to liquid.Cure conditions: 1-4 hours at room temperat...
Adhesives,NA,56620-098,"PIG® Multi-Purpose Repair Putty, New Pig PIG repair putty, 17.8 cm (7"")",12,$179.52,https://us.vwr.com/store/product/4597405/pig-multi-purpose-repair-putty-new-pig,https://us.vwr.com/stibo/smallweb/std.lang.all/37/74/10423774.jpg,"Description: Made with the highest-quality epoxy resins to adhere to steel, glass, masonry and most plastics."
Adhesives,NA,19807-000,"SP Bel-Art Super Glue, Bel-Art Products, a part of SP Super Glue, 3 g (0.11 fl. oz.)",1,$22.54,https://us.vwr.com/store/product/12055541/sp-bel-art-super-glue-bel-art-products-a-part-of-sp,https://us.vwr.com/stibo/smallweb/std.lang.all/54/91/12055491.jpg,Description: A drop of fast-setting Scienceware® Super Glue provides an amazingly strong repair or assembly joint.
Adhesives,NA,VF-0082-A2,"Epoxy Worktop Adhesive, Kewaunee Epoxy top cement, 1 quart",1,$214.59,https://us.vwr.com/store/product/4679459/epoxy-worktop-adhesive-kewaunee,https://us.vwr.com/supplier/smallweb/ImageUnavailable.jpg,Description: Use to join KEMRESIN® worktop sections.
